time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2025-08-01 00:00:00,26.6,93.0,0.0,3.3
2025-08-01 01:00:00,26.3,96.0,0.0,9.6
2025-08-01 02:00:00,26.5,97.0,0.0,6.9
2025-08-01 03:00:00,25.8,97.0,0.7,12.0
2025-08-01 04:00:00,26.4,93.0,0.2,7.7
2025-08-01 05:00:00,26.0,96.0,0.0,3.4
2025-08-01 06:00:00,26.1,95.0,0.0,3.5
2025-08-01 07:00:00,26.6,97.0,0.1,12.6
2025-08-01 08:00:00,27.1,93.0,0.1,13.0
2025-08-01 09:00:00,28.2,88.0,0.1,1.8
2025-08-01 10:00:00,29.1,84.0,0.2,6.8
2025-08-01 11:00:00,29.7,80.0,0.1,13.1
2025-08-01 12:00:00,29.9,80.0,0.2,17.4
2025-08-01 13:00:00,29.9,81.0,0.1,16.9
2025-08-01 14:00:00,30.0,80.0,0.2,17.4
2025-08-01 15:00:00,29.6,78.0,0.0,18.6
2025-08-01 16:00:00,29.2,80.0,0.7,21.4
2025-08-01 17:00:00,29.0,80.0,0.0,13.5
2025-08-01 18:00:00,28.1,86.0,0.0,14.4
2025-08-01 19:00:00,27.6,89.0,0.0,10.3
2025-08-01 20:00:00,27.9,89.0,0.0,11.8
2025-08-01 21:00:00,27.7,90.0,0.2,13.7
2025-08-01 22:00:00,27.9,91.0,0.0,12.8
2025-08-01 23:00:00,27.7,93.0,0.0,10.9
2025-08-02 00:00:00,27.6,93.0,0.0,10.2
2025-08-02 01:00:00,27.7,93.0,0.0,15.3
2025-08-02 02:00:00,27.6,92.0,0.3,17.4
2025-08-02 03:00:00,27.4,92.0,0.2,19.8
2025-08-02 04:00:00,27.6,90.0,0.1,18.9
2025-08-02 05:00:00,26.5,96.0,1.6,17.1
2025-08-02 06:00:00,26.1,96.0,1.6,21.3
2025-08-02 07:00:00,26.1,97.0,1.2,20.1
2025-08-02 08:00:00,25.5,99.0,13.1,10.1
2025-08-02 09:00:00,25.9,98.0,5.7,9.8
2025-08-02 10:00:00,26.2,97.0,0.5,12.2
2025-08-02 11:00:00,26.2,98.0,1.9,12.5
2025-08-02 12:00:00,26.7,97.0,0.7,14.4
2025-08-02 13:00:00,26.2,96.0,3.2,20.9
2025-08-02 14:00:00,26.4,97.0,1.0,14.0
2025-08-02 15:00:00,27.0,93.0,0.2,6.5
2025-08-02 16:00:00,27.4,90.0,0.2,13.1
2025-08-02 17:00:00,27.5,88.0,0.1,12.8
2025-08-02 18:00:00,27.1,91.0,0.2,13.2
2025-08-02 19:00:00,27.0,94.0,0.1,9.0
2025-08-02 20:00:00,27.2,92.0,0.7,20.5
2025-08-02 21:00:00,26.1,97.0,0.4,11.6
2025-08-02 22:00:00,26.2,97.0,0.5,9.2
2025-08-02 23:00:00,26.3,97.0,0.8,12.1
2025-08-03 00:00:00,26.5,97.0,0.9,11.0
2025-08-03 01:00:00,26.6,97.0,0.5,11.8
2025-08-03 02:00:00,26.8,94.0,1.3,14.3
2025-08-03 03:00:00,26.2,97.0,0.4,16.0
2025-08-03 04:00:00,26.3,97.0,1.6,19.9
2025-08-03 05:00:00,25.7,97.0,1.0,24.6
2025-08-03 06:00:00,25.5,97.0,2.8,18.1
2025-08-03 07:00:00,25.9,96.0,2.9,20.2
2025-08-03 08:00:00,25.8,97.0,4.0,18.0
2025-08-03 09:00:00,25.9,96.0,10.4,26.1
2025-08-03 10:00:00,26.8,96.0,2.3,19.0
2025-08-03 11:00:00,24.8,98.0,5.3,19.0
2025-08-03 12:00:00,26.7,96.0,1.3,17.6
2025-08-03 13:00:00,27.8,86.0,0.8,22.8
2025-08-03 14:00:00,28.0,83.0,0.0,29.1
2025-08-03 15:00:00,26.3,91.0,0.3,22.4
2025-08-03 16:00:00,25.7,96.0,0.9,20.0
2025-08-03 17:00:00,27.3,91.0,0.3,22.3
2025-08-03 18:00:00,27.2,93.0,0.2,15.7
2025-08-03 19:00:00,26.8,95.0,0.6,23.0
2025-08-03 20:00:00,27.2,96.0,0.2,19.5
2025-08-03 21:00:00,26.8,92.0,0.7,9.5
2025-08-03 22:00:00,26.3,96.0,0.5,7.9
2025-08-03 23:00:00,27.5,93.0,0.1,13.1
2025-08-04 00:00:00,26.9,98.0,0.1,6.5
2025-08-04 01:00:00,26.2,96.0,4.9,4.9
2025-08-04 02:00:00,25.7,95.0,10.7,0.2
2025-08-04 03:00:00,26.1,97.0,1.5,12.4
2025-08-04 04:00:00,27.0,97.0,1.0,12.9
2025-08-04 05:00:00,26.4,97.0,6.0,12.8
2025-08-04 06:00:00,26.8,97.0,0.6,12.7
2025-08-04 07:00:00,26.6,97.0,4.5,13.2
2025-08-04 08:00:00,26.2,97.0,12.0,18.1
2025-08-04 09:00:00,25.9,99.0,9.6,6.7
2025-08-04 10:00:00,26.3,97.0,2.8,11.6
2025-08-04 11:00:00,25.8,98.0,2.2,9.7
2025-08-04 12:00:00,26.1,99.0,2.2,7.6
2025-08-04 13:00:00,27.0,94.0,1.8,16.6
2025-08-04 14:00:00,27.7,97.0,1.6,19.5
2025-08-04 15:00:00,27.4,97.0,0.8,21.3
2025-08-04 16:00:00,26.9,96.0,3.5,22.2
2025-08-04 17:00:00,27.2,94.0,0.3,20.1
2025-08-04 18:00:00,27.2,95.0,0.6,18.6
2025-08-04 19:00:00,26.9,96.0,0.5,19.0
2025-08-04 20:00:00,26.4,97.0,0.4,15.1
2025-08-04 21:00:00,26.0,98.0,3.8,2.5
2025-08-04 22:00:00,25.6,98.0,3.5,17.3
2025-08-04 23:00:00,25.6,96.0,2.2,15.2
2025-08-05 00:00:00,25.7,97.0,2.7,16.2
2025-08-05 01:00:00,25.1,98.0,9.9,10.5
2025-08-05 02:00:00,25.0,98.0,6.3,10.3
2025-08-05 03:00:00,25.2,98.0,6.7,7.0
2025-08-05 04:00:00,25.3,98.0,5.2,5.7
2025-08-05 05:00:00,24.9,99.0,3.9,3.0
2025-08-05 06:00:00,25.0,97.0,3.9,3.1
2025-08-05 07:00:00,25.7,96.0,0.7,5.0
2025-08-05 08:00:00,25.9,97.0,1.8,20.2
2025-08-05 09:00:00,26.2,96.0,1.2,14.2
2025-08-05 10:00:00,26.7,97.0,2.4,15.3
2025-08-05 11:00:00,26.1,97.0,1.9,18.3
2025-08-05 12:00:00,27.1,93.0,0.7,17.0
2025-08-05 13:00:00,27.7,88.0,0.5,17.8
2025-08-05 14:00:00,27.0,89.0,0.4,13.6
2025-08-05 15:00:00,27.3,88.0,0.2,21.8
2025-08-05 16:00:00,26.2,92.0,0.6,14.1
2025-08-05 17:00:00,26.1,97.0,0.9,17.9
2025-08-05 18:00:00,26.6,97.0,0.9,19.5
2025-08-05 19:00:00,26.9,97.0,2.0,23.0
